Date,Product,Region,Sales,Quantity,Profit,Profit_Margin_%,Sales_With_10pct_Increase,Region_Sales_Share_%
2024-01-01,Widget A,West,159.0,44,526.8835824742268,331.37,174.9,0.06
2024-01-02,Widget D,West,1579.0,24,258.06,16.34,1736.9,0.57
2024-01-03,Widget C,South,2556.242105263158,49,730.04,28.56,2811.866315789474,1.12
2024-01-04,Widget B,West,4600.0,38,526.8835824742268,11.45,5060.0,1.66
2024-01-05,Widget B,South,3717.0,32,465.39,12.52,4088.7000000000003,1.63
2024-01-06,Widget D,East,3928.0,45,505.71,12.87,4320.8,1.38
2024-01-07,Widget A,South,2770.0,26,660.97,23.86,3047.0000000000005,1.21
2024-01-08,Widget C,North,641.0,36,86.27,13.46,705.1,0.27
2024-01-09,Widget A,West,2015.0,14,405.94,20.15,2216.5,0.73
2024-01-10,Widget A,North,4985.0,48,1487.3,29.84,5483.5,2.07
2024-01-11,Widget C,North,2556.242105263158,31,31.85,1.25,2811.866315789474,1.06
2024-01-12,Widget D,North,4408.0,39,455.42,10.33,4848.8,1.83
2024-01-13,Widget C,South,3454.0,23,1031.42,29.86,3799.4,1.51
2024-01-14,Widget D,North,1491.0,43,323.44,21.69,1640.1000000000001,0.62
2024-01-15,Widget C,North,3912.0,4,490.49,12.54,4303.200000000001,1.63
2024-01-16,Widget D,East,4200.0,6,1173.73,27.95,4620.0,1.47
2024-01-17,Widget C,West,311.0,25,85.86,27.61,342.1,0.11
2024-01-18,Widget A,North,621.0,36,128.7,20.72,683.1,0.26
2024-01-19,Widget D,South,3362.0,40,754.29,22.44,3698.2000000000003,1.47
2024-01-20,Widget B,East,2556.242105263158,22,772.41,30.22,2811.866315789474,0.9
2024-01-21,Widget C,West,217.0,32,23.89,11.01,238.70000000000002,0.08
2024-01-22,Widget B,East,3361.0,28,735.77,21.89,3697.1000000000004,1.18
2024-01-23,Widget A,West,768.0,48,122.07,15.89,844.8000000000001,0.28
2024-01-24,Widget D,East,3285.0,33,764.5,23.27,3613.5000000000005,1.15
2024-01-25,Widget D,South,3154.0,21,842.9,26.72,3469.4,1.38
2024-01-26,Widget C,North,543.0,48,526.8835824742268,97.03,597.3000000000001,0.23
2024-01-27,Widget B,West,3435.0,6,752.76,21.91,3778.5000000000005,1.24
2024-01-28,Widget D,West,4495.0,49,657.42,14.63,4944.5,1.62
2024-01-29,Widget C,North,4330.0,8,1189.79,27.48,4763.0,1.8
2024-01-30,Widget B,East,242.0,15,36.48,15.07,266.20000000000005,0.08
2024-01-31,Widget B,North,1304.0,41,289.69,22.22,1434.4,0.54
2024-02-01,Widget A,East,1280.0,36,269.71,21.07,1408.0,0.45
2024-02-02,Widget A,West,2321.0,48,416.0,17.92,2553.1000000000004,0.84
2024-02-03,Widget C,North,800.0,37,188.42,23.55,880.0000000000001,0.33
2024-02-04,Widget D,South,4286.0,32,1050.73,24.52,4714.6,1.87
2024-02-05,Widget A,North,3906.0,17,833.49,21.34,4296.6,1.62
2024-02-06,Widget D,East,4060.0,1,1021.84,25.17,4466.0,1.42
2024-02-07,Widget D,West,1071.0,7,317.75,29.67,1178.1000000000001,0.39
2024-02-08,Widget B,North,171.0,15,31.44,18.39,188.10000000000002,0.07
2024-02-09,Widget C,South,4562.0,3,925.71,20.29,5018.200000000001,2.0
2024-02-10,Widget A,West,1515.0,25,155.28,10.25,1666.5000000000002,0.55
2024-02-11,Widget D,South,3315.0,39,859.27,25.92,3646.5000000000005,1.45
2024-02-12,Widget C,North,4556.0,48,929.63,20.4,5011.6,1.89
2024-02-13,Widget B,South,277.0,24,50.3,18.16,304.70000000000005,0.12
2024-02-14,Widget A,East,126.0,43,14.97,11.88,138.60000000000002,0.04
2024-02-15,Widget D,East,126.0,49,35.02,27.79,138.60000000000002,0.04
2024-02-16,Widget B,South,865.0,43,154.84,17.9,951.5000000000001,0.38
