Date,Product,Region,Sales,Quantity,Profit
2024-01-01,Widget A,West,159.0,44,
2024-01-02,Widget D,West,1579.0,24,258.06
2024-01-03,Widget C,South,,49,730.04
2024-01-04,Widget B,West,4600.0,38,
2024-01-05,Widget B,South,3717.0,32,465.39
2024-01-06,Widget D,East,3928.0,45,505.71
2024-01-07,Widget A,South,2770.0,26,660.97
2024-01-08,Widget C,North,641.0,36,86.27
2024-01-09,Widget A,West,2015.0,14,405.94
2024-01-10,Widget A,North,4985.0,48,1487.3
2024-01-11,Widget C,North,,31,31.85
2024-01-12,Widget D,North,4408.0,39,455.42
2024-01-13,Widget C,South,3454.0,23,1031.42
2024-01-14,Widget D,North,1491.0,43,323.44
2024-01-15,Widget C,North,3912.0,4,490.49
2024-01-16,Widget D,East,4200.0,6,1173.73
2024-01-17,Widget C,West,311.0,25,85.86
2024-01-18,Widget A,North,621.0,36,128.7
2024-01-19,Widget D,South,3362.0,40,754.29
2024-01-20,Widget B,East,,22,772.41
2024-01-21,Widget C,West,217.0,32,23.89
2024-01-22,Widget B,East,3361.0,28,735.77
2024-01-23,Widget A,West,768.0,48,122.07
2024-01-24,Widget D,East,3285.0,33,764.5
2024-01-25,Widget D,South,3154.0,21,842.9
2024-01-26,Widget C,North,543.0,48,
2024-01-27,Widget B,West,3435.0,6,752.76
2024-01-28,Widget D,West,4495.0,49,657.42
2024-01-29,Widget C,North,4330.0,8,1189.79
2024-01-30,Widget B,East,242.0,15,36.48
2024-01-31,Widget B,North,1304.0,41,289.69
2024-02-01,Widget A,East,1280.0,36,269.71
2024-02-02,Widget A,West,2321.0,48,416.0
2024-02-03,Widget C,North,800.0,37,188.42
2024-02-04,Widget D,South,4286.0,32,1050.73
2024-02-05,Widget A,North,3906.0,17,833.49
2024-02-06,Widget D,East,4060.0,1,1021.84
2024-02-07,Widget D,West,1071.0,7,317.75
2024-02-08,Widget B,North,171.0,15,31.44
2024-02-09,Widget C,South,4562.0,3,925.71
2024-02-10,Widget A,West,1515.0,25,155.28
2024-02-11,Widget D,South,3315.0,39,859.27
2024-02-12,Widget C,North,4556.0,48,929.63
2024-02-13,Widget B,South,277.0,24,50.3
2024-02-14,Widget A,East,126.0,43,14.97
2024-02-15,Widget D,East,126.0,49,35.02
2024-02-16,Widget B,South,865.0,43,154.84
2024-02-17,Widget D,West,353.0,23,83.49
2024-02-18,Widget C,East,4117.0,16,534.69
2024-02-19,Widget D,South,3069.0,48,897.1
2024-02-20,Widget D,West,4902.0,12,665.14
2024-02-21,Widget A,West,4027.0,21,563.41
2024-02-22,Widget B,South,4819.0,4,1309.79
2024-02-23,Widget B,North,1268.0,39,358.23
2024-02-24,Widget B,East,1510.0,32,215.07
2024-02-25,Widget A,East,4262.0,5,826.66
2024-02-26,Widget C,North,1299.0,11,320.46
2024-02-27,Widget A,East,380.0,28,104.76
2024-02-28,Widget C,West,3378.0,27,593.89
2024-02-29,Widget C,North,4024.0,40,818.5
2024-03-01,Widget D,East,4844.0,14,1202.97
2024-03-02,Widget C,North,4646.0,46,1143.97
2024-03-03,Widget B,East,689.0,22,176.79
2024-03-04,Widget D,South,3883.0,41,830.91
2024-03-05,Widget B,North,4246.0,12,513.44
2024-03-06,Widget B,West,3520.0,2,988.4
2024-03-07,Widget D,North,4117.0,3,1124.41
2024-03-08,Widget B,East,4206.0,19,1091.96
2024-03-09,Widget A,North,2288.0,47,
2024-03-10,Widget B,West,296.0,3,41.7
2024-03-11,Widget D,East,2335.0,19,580.76
2024-03-12,Widget A,West,1088.0,6,113.84
